country,designation,points,price,price_GBP
Chile,Legado Reserva,87,15.0,18.0
Chile,Los Lingues Vineyard,88,20.0,24.0
Chile,,88,20.0,24.0
Chile,Sucesor,88,20.0,24.0
Chile,Espino,88,17.0,20.4
Chile,Grand Reserve,85,18.0,21.599999999999998
Chile,Reserva Privada,85,15.0,18.0
Chile,La Finca Clos D'Angel,85,13.0,15.6
Chile,Reserva Encinos,85,12.0,14.399999999999999
Chile,Reserve,85,13.0,15.6
Chile,,85,18.0,21.599999999999998
Chile,Visión El Recurso Single Vineyard,85,16.0,19.2
Chile,Coastal Cool Climate,85,14.0,16.8
Chile,Los Vascos,88,14.0,16.8
Chile,Gran Reserva,88,17.0,20.4
Chile,Gran Reserva,88,17.0,20.4
Chile,Envero Gran Reserve,88,17.0,20.4
Chile,Axel Primero,90,40.0,48.0
Chile,Edición Limitada,90,23.0,27.599999999999998
Chile,Raices Nobles,90,21.0,25.2
Chile,Kuyen,90,30.0,36.0
Chile,Estate Reserve,87,10.0,12.0
Chile,Reserva,87,12.0,14.399999999999999
Chile,Legado de Armida Reserva,87,10.0,12.0
Chile,Estate Bottled Reserve,87,12.0,14.399999999999999
Chile,Big Tattoo Red,87,9.0,10.799999999999999
Chile,,87,8.0,9.6
Chile,,87,12.0,14.399999999999999
Chile,Edicion Limitada - 66 Barricas,87,,
Chile,Alpha,87,20.0,24.0
Chile,Xplorador,87,7.0,8.4
Chile,Gran Reserva Sibaris,86,17.0,20.4
Chile,Vitral,86,11.0,13.2
Chile,Reserva Casillero del Diablo,86,11.0,13.2
Chile,Reserva,86,11.0,13.2
Chile,Tectonia,86,23.0,27.599999999999998
Chile,,84,12.0,14.399999999999999
Chile,Unfiltered,84,25.0,30.0
Chile,Classic Series,84,13.0,15.6
Chile,,84,8.0,9.6
Chile,,84,12.0,14.399999999999999
Chile,The 7th Generation Reserva,84,15.0,18.0
Chile,Estate Bottled,83,12.0,14.399999999999999
Chile,Gran Reserva,83,15.0,18.0
Chile,Reserva,83,10.0,12.0
Chile,Reserve,83,16.0,19.2
Chile,Elegido Gran Reserva,88,18.0,21.599999999999998
Chile,1865 Single Vineyard,88,18.0,21.599999999999998
Chile,,84,10.0,12.0
Chile,Pionero,84,9.0,10.799999999999999
Chile,Manso de Velasco Viejas Viñas Old Vines,88,42.0,50.4
Chile,Catalina,88,40.0,48.0
Chile,20 Barrels,88,24.0,28.799999999999997
Chile,Visión,88,13.0,15.6
Chile,Microterroir de los Lingues,88,49.0,58.8
Chile,EQ,88,,
Chile,Reserva,86,12.0,14.399999999999999
Chile,Reserve Barrel Select,87,12.0,14.399999999999999
Chile,Reserva,87,11.0,13.2
Chile,Secreto,86,14.0,16.8
Chile,Castillo de Molina Reserva,86,12.0,14.399999999999999
Chile,Selección,82,15.0,18.0
Chile,Hacienda Araucano Reserva,82,13.0,15.6
Chile,Cherub Rosé of Syrah,82,20.0,24.0
Chile,,82,20.0,24.0
Chile,,82,10.0,12.0
Chile,,81,14.0,16.8
Chile,Reserva Cabernet Sauvignon-Syrah,81,12.0,14.399999999999999
Chile,,81,10.0,12.0
Chile,Reserve,80,15.0,18.0
Chile,Gran Reserva,84,14.0,16.8
Chile,Selected Terroir,84,10.0,12.0
Chile,Reserva,84,9.0,10.799999999999999
Chile,,86,12.0,14.399999999999999
Chile,Puerto Viejo Estate Bottled Single Vineyard Reserve,86,10.0,12.0
Chile,Alba,86,8.0,9.6
Chile,Limited Release,86,25.0,30.0
Chile,,88,10.0,12.0
Chile,Reserva,88,12.0,14.399999999999999
Chile,,92,60.0,72.0
Chile,Alazan CJ's Barrel,90,32.0,38.4
Chile,Cuvée Alexandre Las Kuras Vineyard,90,24.0,28.799999999999997
Chile,Toro de Piedra Grand Reserve Late Harvest,88,12.0,14.399999999999999
Chile,Kuyen,90,40.0,48.0
Chile,Secreto,86,15.0,18.0
Chile,Del Viento Paredones Estate Single Vineyard,86,20.0,24.0
Chile,Block Selection Tinga Reserve,87,12.0,14.399999999999999
Chile,Reserva,87,13.0,15.6
Chile,,87,25.0,30.0
Chile,Serie Riberas Gran Reserva Ribera del Cachapoal,87,17.0,20.4
Chile,Serie Riberas Gran Reserva Ribera del Tinguiririca,87,17.0,20.4
Chile,Nimbus Single Vineyard,88,23.0,27.599999999999998
Chile,Spring Harvest,88,16.0,19.2
Chile,Coastal Cool Climate Estate Bottled,85,17.0,20.4
Chile,Grand Reserve,89,25.0,30.0
Chile,Gran Reserva,89,22.0,26.4
Chile,Gran Reserva,89,18.0,21.599999999999998
Chile,Mariposa Estate Old Vines Dry Farmed,89,20.0,24.0
Chile,Reina Ana,82,9.0,10.799999999999999
Chile,,81,10.0,12.0
Chile,Albamar,81,13.0,15.6
Chile,Visión,87,13.0,15.6
Chile,Viognier-Sauvignon Blanc-Chardonnay,87,8.0,9.6
Chile,1865 Limited Edition,91,30.0,36.0
Chile,Q Grand Reserve,87,10.0,12.0
Chile,Reserva,87,14.0,16.8
Chile,Gran Reserva de Los Andes,87,15.0,18.0
Chile,Reserva Estate Bottled,87,12.0,14.399999999999999
Chile,Reserva Privada,87,15.0,18.0
Chile,Chungará Gran Reserva,87,14.0,16.8
Chile,1865 Single Vineyard,90,19.0,22.8
Chile,,88,15.0,18.0
Chile,Reserva Especial,88,19.0,22.8
Chile,Canto de Apalta Cellar Selection,91,22.0,26.4
Chile,First Edition,86,18.0,21.599999999999998
Chile,Guardián Reserva,86,10.0,12.0
Chile,Limited Edition,86,20.0,24.0
Chile,Max Reserva,86,20.0,24.0
Chile,Pequeñas Producciones Estate Bottled,86,41.0,49.199999999999996
Chile,Natura,86,11.0,13.2
Chile,Don Melchor Puente Alto Vineyard,92,120.0,144.0
Chile,Royale Los Lingues Vineyard,92,26.0,31.2
Chile,Boya,88,18.0,21.599999999999998
Chile,Grey [Glacier] Single Block,88,20.0,24.0
Chile,Corralillo,86,20.0,24.0
Chile,Reserva,86,15.0,18.0
Chile,Sepia Reserva,86,12.0,14.399999999999999
Chile,Tributo Single Vineyard Block #Algarrobo,86,16.0,19.2
Chile,Gran Reserva Estate Bottled,83,20.0,24.0
Chile,Reserva Espiritu de Los Andes Estate Bottled,83,12.0,14.399999999999999
Chile,Reserva Encinos,83,12.0,14.399999999999999
Chile,Reserve,83,12.0,14.399999999999999
Chile,,83,8.0,9.6
Chile,Coastal Cool Climate Estate Bottled Cabernet Franc,82,17.0,20.4
Chile,,82,9.0,10.799999999999999
Chile,Classic Series,82,13.0,15.6
Chile,Estate,82,16.0,19.2
Chile,Grand Reserve,82,15.0,18.0
Chile,Select Terroir,82,10.0,12.0
Chile,EQ,88,20.0,24.0
Chile,Orzada,88,20.0,24.0
Chile,,88,12.0,14.399999999999999
Chile,Nimbus Single Vineyard,88,13.0,15.6
Chile,Max Reserva,92,20.0,24.0
Chile,Gran Reserva,88,20.0,24.0
Chile,,84,13.0,15.6
Chile,Estate Bottled,84,7.0,8.4
Chile,Reserva,84,17.0,20.4
Chile,Coastal Cool Climate Wine Single Vineyard,87,17.0,20.4
Chile,Nimbus Single Vineyard,87,15.0,18.0
Chile,Cholqui,90,40.0,48.0
Chile,Kuyen,89,30.0,36.0
Chile,,90,25.0,30.0
Chile,Grey Glacier Single Block Trinidad Vineyard,90,24.0,28.799999999999997
Chile,Clava Reserve,85,15.0,18.0
Chile,Reserve,85,10.0,12.0
Chile,Cefiro Reserva,85,12.0,14.399999999999999
Chile,Reserva,85,10.0,12.0
Chile,Ventura Reserve,85,16.0,19.2
Chile,Sepia Reserva,85,12.0,14.399999999999999
Chile,Reserva Sepia,85,12.0,14.399999999999999
Chile,Reserva,85,14.0,16.8
Chile,Reserva,85,12.0,14.399999999999999
Chile,Marques de Casa Concha,85,25.0,30.0
Chile,Rosé,85,18.0,21.599999999999998
Chile,Estate Reserve,85,10.0,12.0
Chile,Reserva Merlot-Carmenère-Cabernet Sauvignon,86,15.0,18.0
Chile,Block Selection Limari Reserve,86,11.0,13.2
Chile,El Olivar Alto Single Vineyard,90,25.0,30.0
Chile,D,91,60.0,72.0
Chile,Antu Mountain Vineyard,89,20.0,24.0
Chile,Viu 1,93,70.0,84.0
Chile,Reserva,86,11.0,13.2
Chile,Reserva Estate Bottled,86,10.0,12.0
Chile,Alpha,89,25.0,30.0
Chile,Marques de Casa Concha,89,23.0,27.599999999999998
Chile,Winemaker's Selection Single Vineyard,82,20.0,24.0
Chile,Pink Goat,81,13.0,15.6
Chile,Brut,81,12.0,14.399999999999999
Chile,Los Vascos,80,12.0,14.399999999999999
Chile,Reserva,88,13.0,15.6
Chile,Gran Reserva,88,15.0,18.0
Chile,Grapes Organically Grown,84,13.0,15.6
Chile,Indo,84,11.0,13.2
Chile,Bravado,89,20.0,24.0
Chile,,89,25.0,30.0
Chile,Grand Reserve,89,15.0,18.0
Chile,Gran Devoción,86,18.0,21.599999999999998
Chile,Gran Reserva,86,35.0,42.0
Chile,,86,10.0,12.0
Chile,Canto Sur,86,15.0,18.0
Chile,Reserva Terroir La Higuera,86,12.0,14.399999999999999
Chile,,87,12.0,14.399999999999999
Chile,Wetland Winemaker's Selection,85,8.0,9.6
Chile,Special Reserve,85,19.0,22.8
Chile,Estate Selection,85,13.0,15.6
Chile,Los Vascos,83,10.0,12.0
Chile,,83,7.0,8.4
Chile,,83,6.0,7.199999999999999
Chile,Estate Bottled,83,6.0,7.199999999999999
Chile,Reserve,83,15.0,18.0
Chile,Estate Bottled,83,8.0,9.6
Chile,,83,9.0,10.799999999999999
Chile,Jardin,83,9.0,10.799999999999999
Chile,Gato Negro,83,5.0,6.0
Chile,CLB Reserve,82,14.0,16.8
Chile,San Francisco de Mostazal Reserva Especial,82,8.0,9.6
Chile,Reserve,85,14.0,16.8
Chile,Herú,84,45.0,54.0
Chile,Cefiro Reserva,84,12.0,14.399999999999999
Chile,Reserva,84,12.0,14.399999999999999
Chile,Axel,88,20.0,24.0
Chile,Reserva,86,12.0,14.399999999999999
Chile,Ona Special Reserve Cabernet Sauvignon-Carmenere-Syrah,86,19.0,22.8
Chile,Cefiro Reserva,86,12.0,14.399999999999999
Chile,Rivalta Limited Selection,91,85.0,102.0
Chile,Lukai,91,71.0,85.2
Chile,Max Reserva,91,20.0,24.0
Chile,Reserve Assemblage Carmenère-Syrah-Cabernet Sauvignon,91,19.0,22.8
Chile,Reserva Especial,87,15.0,18.0
Chile,Reserva,87,13.0,15.6
Chile,1234 Reserva,87,15.0,18.0
Chile,Alpha M,92,95.0,114.0
Chile,Don Maximiano Founder's Reserva,91,90.0,108.0
Chile,La Cumbre,91,80.0,96.0
Chile,,92,75.0,90.0
Chile,Serie Riberas Gran Reserva Ribera del Cachapoal,89,18.0,21.599999999999998
Chile,,89,20.0,24.0
Chile,,88,12.0,14.399999999999999
Chile,Block Selection Reserve,88,11.0,13.2
Chile,Late Harvest,87,13.0,15.6
Chile,Nimbus Single Vineyard,87,15.0,18.0
Chile,Reserva,87,11.0,13.2
Chile,Don Maximiano Founder's Reserve,92,95.0,114.0
Chile,Coastal Cool Climate Single Vineyard,85,19.0,22.8
Chile,Brut,85,18.0,21.599999999999998
Chile,Quinteto Coastal Cool Climate,85,16.0,19.2
Chile,Pedriscal Vineyard Reserva,85,23.0,27.599999999999998
Chile,Gran Aracauno,85,35.0,42.0
Chile,B,85,39.0,46.8
Chile,Gran Reserva,85,15.0,18.0
Chile,EQ,88,20.0,24.0
Chile,Orzada,88,20.0,24.0
Chile,Alpha,88,24.0,28.799999999999997
Chile,Reserva,88,12.0,14.399999999999999
Chile,Family Reserva,88,18.0,21.599999999999998
Chile,La Joya Gran Reserva,87,15.0,18.0
Chile,Isidora,87,15.0,18.0
Chile,20 Barrels,93,35.0,42.0
Chile,Aliara,89,35.0,42.0
Chile,Orzada,89,20.0,24.0
Chile,Alcance,88,15.0,18.0
Chile,Vitral Reserva,86,13.0,15.6
Chile,Reserva,86,11.0,13.2
Chile,Laurel Vineyard,88,25.0,30.0
Chile,Visión,88,15.0,18.0
Chile,Estate,88,14.0,16.8
Chile,The Blend Collection,89,45.0,54.0
Chile,Grande Reserve,89,18.0,21.599999999999998
Chile,Orzada,91,20.0,24.0
Chile,Parras Viejas,89,39.0,46.8
Chile,Gran Reserva Cuvée,89,20.0,24.0
Chile,Alazan,89,32.0,38.4
Chile,T.H. Alto Maipo,89,25.0,30.0
Chile,Auma Los Lingues,91,100.0,120.0
Chile,Private Syrah-Cabernet Sauvignon-Carmenere,91,30.0,36.0
Chile,Laku Hijo del Sol The Final Blend,91,60.0,72.0
Chile,Terrunyo Entre Cordilleras Peumo Vineyard Block 27,91,50.0,60.0
Chile,VSC,91,40.0,48.0
Chile,Secano Dry Farmed,89,40.0,48.0
Chile,Block Series Reserva Especial,89,20.0,24.0
Chile,Alcaparral,89,21.0,25.2
Chile,Lien,90,30.0,36.0
Chile,,84,12.0,14.399999999999999
Chile,Single Vineyard,83,18.0,21.599999999999998
Chile,Reserva,83,14.0,16.8
Chile,,83,12.0,14.399999999999999
Chile,,83,12.0,14.399999999999999
Chile,Selección,83,12.0,14.399999999999999
Chile,,83,10.0,12.0
Chile,Reserve,83,15.0,18.0
Chile,,86,9.0,10.799999999999999
Chile,,86,9.0,10.799999999999999
Chile,Reserva,86,12.0,14.399999999999999
Chile,Los Vascos,86,14.0,16.8
Chile,La Joya Reserve,86,11.0,13.2
Chile,,86,14.0,16.8
Chile,Casa,86,12.0,14.399999999999999
Chile,Gold Reserve,86,14.0,16.8
Chile,Select Terroir,86,9.0,10.799999999999999
Chile,Über Cuvée,86,15.0,18.0
Chile,Tectonia,92,20.0,24.0
Chile,Edicion Limitada,92,33.0,39.6
Chile,Edición Limitada,92,25.0,30.0
Chile,Borobo,92,85.0,102.0
Chile,,89,20.0,24.0
Chile,,89,26.0,31.2
Chile,,89,20.0,24.0
Chile,La Capilla Single Vineyard,89,25.0,30.0
Chile,Nimbus Estate Single Vineyard,87,12.0,14.399999999999999
Chile,Chamán Gran Reserva,87,20.0,24.0
Chile,Red Wine,88,12.0,14.399999999999999
Chile,Legado Reserva,87,16.0,19.2
Chile,Hacienda Araucano Reserva,87,11.0,13.2
Chile,Enclave,93,70.0,84.0
Chile,Petirrojo Reserva,85,8.0,9.6
Chile,Puerto Viejo Single Vineyard Reserve Estate Bottled,85,10.0,12.0
Chile,Coastal Cool Climate Single Vineyard,85,18.0,21.599999999999998
Chile,Los Vascos Cabernet Sauvignon,85,13.0,15.6
Chile,Reserva,85,9.0,10.799999999999999
Chile,Petirrojo Reserva,85,8.0,9.6
Chile,Reserva,85,15.0,18.0
Chile,120 Reserva Especial Hero's,86,8.0,9.6
Chile,Aliwen Reserva,86,,
Chile,Cuvée Alexandre Atalayas Vineyard,89,24.0,28.799999999999997
Chile,Ecos de Rulo,89,19.0,22.8
Chile,Limited Selection,89,20.0,24.0
Chile,,89,19.0,22.8
Chile,Perla Negra,91,61.0,73.2
Chile,Reserva,86,12.0,14.399999999999999
Chile,EQ,91,40.0,48.0
Chile,Gravas del Maipo,91,200.0,240.0
Chile,Facundo,91,35.0,42.0
Chile,Altazor,91,60.0,72.0
Chile,Alto de Piedras Single Vineyard,90,45.0,54.0
Chile,1865 Single Vineyard,91,18.0,21.599999999999998
Chile,Los Vascos Grande Reserve,90,20.0,24.0
Chile,,87,10.0,12.0
Chile,Reserva,87,11.0,13.2
Chile,El Alto,90,45.0,54.0
Chile,Gran Corte,90,45.0,54.0
Chile,Tectonia,89,20.0,24.0
Chile,Cefiro Reserva,84,13.0,15.6
Chile,Estate,84,15.0,18.0
Chile,Momentos Reserva,84,11.0,13.2
Chile,El Recurso Single Vineyard Block N°18,91,20.0,24.0
Chile,Wave Series Left Wave,85,10.0,12.0
Chile,Hacienda Araucano Reserva,85,12.0,14.399999999999999
Chile,120,85,8.0,9.6
Chile,Medalla Real Gran Reserva,87,18.0,21.599999999999998
Chile,Gran Reserva,87,18.0,21.599999999999998
Chile,,93,87.0,104.39999999999999
Chile,,92,60.0,72.0
Chile,Winemaker's Reserve,91,40.0,48.0
Chile,Grand Reserve,87,18.0,21.599999999999998
Chile,Tralca,88,70.0,84.0
Chile,El Olivar Alto Single Vineyard,88,25.0,30.0
Chile,Serie Riberas Gran Reserva Ribera del Tinguirica,86,18.0,21.599999999999998
Chile,Classic Collection Unwooded,86,10.0,12.0
Chile,Lot #55 Sauzal Vineyard Carignan-Garnacha-Mataró Field-Blend,91,39.0,46.8
Chile,T.H. Terroir Hunter,91,24.0,28.799999999999997
Chile,Payen,92,60.0,72.0
Chile,Ecos de Rulo,86,,
Chile,Albamar,86,11.0,13.2
Chile,,85,11.0,13.2
Chile,Los Vascos,85,13.0,15.6
Chile,Reserva,85,10.0,12.0
Chile,,85,16.0,19.2
Chile,Special Reserve,85,15.0,18.0
Chile,Casa Grand Selection,85,12.0,14.399999999999999
Chile,Alba,85,10.0,12.0
Chile,Vénere,87,70.0,84.0
Chile,Marques de Casa Concha,87,26.0,31.2
Chile,Gran Reserva Corte,87,17.0,20.4
Chile,Medalla Real Gran Reserva,87,18.0,21.599999999999998
Chile,Grand Reserve Selected Vineyards,87,20.0,24.0
Chile,Reserve,86,10.0,12.0
Chile,Gran Reserva Corte,86,20.0,24.0
Chile,La Joya Gran Reserva,86,11.0,13.2
Chile,Marea,90,25.0,30.0
Chile,,90,80.0,96.0
Chile,Lucero,87,20.0,24.0
Chile,Reserva,86,13.0,15.6
Chile,Reserva Estate Bottled,88,12.0,14.399999999999999
Chile,Marques de Casa Concha,88,26.0,31.2
Chile,Elements Cabernet Sauvignon-Petit Verdot-Carignan-Carmenere,88,30.0,36.0
Chile,Equilibrio Made With Organically Grown Grapes,84,12.0,14.399999999999999
Chile,Gran Reserva,84,14.0,16.8
Chile,T.H. Terroir Hunter Rarities País-Cinsault La Soledad,90,30.0,36.0
Chile,Éclat Vigno Old Vine Dry-Farmed,90,35.0,42.0
Chile,120,85,9.0,10.799999999999999
Chile,,85,10.0,12.0
Chile,El Conde Gran Reserva,85,15.0,18.0
Chile,Las Mulas Reserva,85,14.0,16.8
Chile,Sepia Reserva,85,12.0,14.399999999999999
Chile,Oscar,85,13.0,15.6
Chile,Hacienda Araucano Reserva,85,11.0,13.2
Chile,,84,10.0,12.0
Chile,Sustainable Agriculture,84,13.0,15.6
Chile,Castillo de Molina Reserva,84,12.0,14.399999999999999
Chile,Justo,85,17.0,20.4
Chile,,85,14.0,16.8
Chile,Reserva Estate Bottled,85,12.0,14.399999999999999
Chile,Tama Vineyard Selection,87,16.0,19.2
Chile,Medalla Real Gran Reserva,87,18.0,21.599999999999998
Chile,Microterroir de Los Lingues,87,48.0,57.599999999999994
Chile,Gran Reserva Maipo Alto,87,15.0,18.0
Chile,Reserva,87,12.0,14.399999999999999
Chile,Cholqui,86,26.0,31.2
Chile,Grand Reserve,86,18.0,21.599999999999998
Chile,Novas Gran Reserva,86,16.0,19.2
Chile,Reserva,87,11.0,13.2
Chile,Gran Reserva,87,14.0,16.8
Chile,Reserva 1234,87,15.0,18.0
Chile,Toro de Piedra Gran Reserva Single Vineyard,84,15.0,18.0
Chile,Unfiltered,84,28.0,33.6
Chile,,84,14.0,16.8
Chile,Estate,84,15.0,18.0
Chile,Urban Maule,88,14.0,16.8
Chile,Albamar,85,11.0,13.2
Chile,Eco Balance,85,9.0,10.799999999999999
Chile,1865 Limited Edition,85,25.0,30.0
Chile,Amalia,85,40.0,48.0
Chile,VSC Assemblage,94,40.0,48.0
Chile,Barrel Select,84,12.0,14.399999999999999
Chile,Ona Special Reserve Riesling-Chardonnay-Viognier,84,17.0,20.4
Chile,Reserva,84,13.0,15.6
Chile,Select Terroir Unoaked,84,10.0,12.0
Chile,Reserva,84,13.0,15.6
Chile,Reserve,84,11.0,13.2
Chile,Gran Reserva,83,15.0,18.0
Chile,,83,12.0,14.399999999999999
Chile,Reserva Sauvignon Blanc-Carmenère,83,11.0,13.2
Chile,Axel,89,20.0,24.0
Chile,Estate Bottled,84,7.0,8.4
Chile,Reserva,84,11.0,13.2
Chile,Reserva,87,12.0,14.399999999999999
Chile,Aliwen Reserva,87,13.0,15.6
Chile,Enki,87,30.0,36.0
Chile,Gran Reserva Corte,86,20.0,24.0
Chile,La Joya Gran Reserva,86,14.0,16.8
Chile,,89,23.0,27.599999999999998
Chile,Reserva Privada,89,19.0,22.8
Chile,,89,20.0,24.0
Chile,Gran Reserva,90,17.0,20.4
Chile,Catalina,90,50.0,60.0
Chile,Eco Balance,86,9.0,10.799999999999999
Chile,1865 Single Vineyard,86,19.0,22.8
Chile,Alazan,90,28.0,33.6
Chile,Folly,90,82.0,98.39999999999999
Chile,Triple C,90,56.0,67.2
Chile,,90,55.0,66.0
Chile,Finis Terrae,89,19.0,22.8
Chile,Gran Reserva,85,,
Chile,Edición Limitada,85,23.0,27.599999999999998
Chile,Estate,85,8.0,9.6
Chile,Gran Reserva,84,14.0,16.8
Chile,Estate,84,10.0,12.0
Chile,Medalla Real Gran Reserva,87,20.0,24.0
Chile,Armador,87,13.0,15.6
Chile,Armador,87,13.0,15.6
Chile,,84,10.0,12.0
Chile,Ona Special Reserve Chardonnay-Viognier-Riesling,84,19.0,22.8
Chile,Edición Limitada,84,35.0,42.0
Chile,3 Generaciones,84,7.0,8.4
Chile,Reserva,84,14.0,16.8
Chile,Casillero del Diablo Reserva,84,12.0,14.399999999999999
Chile,Royale,90,26.0,31.2
Chile,Gran Reserva,90,17.0,20.4
Chile,Single Vineyard,90,22.0,26.4
Chile,Estate Malbec-Petite Sirah,90,15.0,18.0
Chile,First Edition,88,18.0,21.599999999999998
Chile,Enki Carmenère-Carignan,88,30.0,36.0
Chile,Marques de Casa Concha,88,22.0,26.4
Chile,Reserve,83,11.0,13.2
Chile,Missing,83,15.0,18.0
Chile,,83,20.0,24.0
Chile,Quino Noir,83,43.0,51.6
Chile,,83,14.0,16.8
Chile,Reserva Organic,82,13.0,15.6
Chile,Viento Mar Single Vineyard Block N°21,82,20.0,24.0
Chile,Crucero Collection,82,13.0,15.6
Chile,Reserva,82,10.0,12.0
Chile,Crazy Rows,82,25.0,30.0
Chile,Reserva,82,11.0,13.2
Chile,Natura,82,11.0,13.2
Chile,Los Vascos,81,13.0,15.6
Chile,,81,7.0,8.4
Chile,Assemblage Reserve,81,20.0,24.0
Chile,Clava Reserve,80,14.0,16.8
Chile,Left Coast,80,7.0,8.4
Chile,Albamar,80,12.0,14.399999999999999
Chile,,85,9.0,10.799999999999999
Chile,Reserva,85,12.0,14.399999999999999
Chile,Reserva,87,12.0,14.399999999999999
Chile,Aliwen Reserva,87,12.0,14.399999999999999
Chile,Reserva,87,12.0,14.399999999999999
Chile,Gran Reserva,87,20.0,24.0
Chile,Founder's Collection,87,40.0,48.0
Chile,,92,66.0,79.2
Chile,Tupu Edicion Limitada,92,52.0,62.4
Chile,Viñedo Las Vertientes,88,20.0,24.0
Chile,Gran Reserva,88,17.0,20.4
Chile,Late Harvest,88,17.0,20.4
Chile,,86,19.0,22.8
Chile,Sabrina Reserve,86,12.0,14.399999999999999
Chile,Family Vintage,86,17.0,20.4
Chile,Gran Reserva,86,16.0,19.2
Chile,,86,10.0,12.0
Chile,Marques de Casa Concha,86,18.0,21.599999999999998
Chile,Legado Reserva,86,16.0,19.2
Chile,Protegido,89,50.0,60.0
Chile,Grand Reserve,89,21.0,25.2
Chile,,86,12.0,14.399999999999999
Chile,Orzada Made With Organic Grapes,86,21.0,25.2
Chile,Limited Reserve,86,18.0,21.599999999999998
Chile,Classic Series,86,13.0,15.6
Chile,Alpha,91,25.0,30.0
